Name;Affiliation;Country
Alessandro Siani;School of Biological Sciences, University of Portsmouth, Portsmouth; UK
Azeem Majeed;Imperial College London; UK
Martyn Pickersgill;Centre for Biomedicine, Self and Society, The University of Edinburgh, Edinburgh; UK
Nina Gobat;Nuffield Department of Primary Care Health Sciences, University of Oxford, Oxford; UK
Rhonda Smith;Minerva Communications UK, Andover; UK
Stephen Reicher;Bishop Wardlaw Professor, School of Psychology and Neuroscience, University of St. Andrews; UK
Christophe Fraser;Nuffield Department of Medicine, University of Oxford, Oxford; UK
Georg Gottlob;Department of Computer Science, University of Oxford, Oxford; UK
Lucija Klaric;MRC HGU IGMM, University of Edinburgh; UK
Jennifer Dowd;Deputy Director, Leverhulme Centre for Demographic Science, University of Oxford; UK
Martin Tobin;Department of Health Sciences, George Davies Centre, University of Leicester, Leicester; UK
Louise Sigfrid;Centre for Tropical Medicine and Global Health, University of Oxford, Oxford; UK
Claudia Hanson;Karolinska Institutet, Stockholm, Sweden & London School of Hygiene & Tropical Medicine, London; UK
George N. Pavlakis;"Section Chief, Human Retrovirus Section, NCI, ""Frederick, MD"""; USA
Jose-Luis Jimenez;University of Colorado-Boulder; USA
Yaneer Bar-Yam;New England Complex Systems Institute, Cambridge, MA; USA 
Amrish Y. Baidjoe;London School of Hygiene and Tropical Medicine, London, UK, and President of the EPIET Alumni Network, and Dutch RedTeam; the Netherlands
